Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
2.6,0.5233,1.803,NaN,NaN,NaN,-0.0043,0.0046,0.0056,0.0106,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.9077,1.103,NaN,NaN,NaN,-0.0002,0.0005,-0.0024,0.0008,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.8536,1.203,NaN,NaN,NaN,0.0008,0.0005,-0.0011,0.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.8016,1.303,NaN,NaN,NaN,0.0012,0.0007,-0.0015,0.0015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.7522,1.403,NaN,NaN,NaN,0.0012,0.0011,-0.0038,0.0023,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.7055,1.503,NaN,NaN,NaN,0.0003,0.0015,0.0007,0.0031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.6616,1.603,NaN,NaN,NaN,0.0008,0.002,0.0039,0.0043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.6205,1.703,NaN,NaN,NaN,0.0016,0.0028,-0.0058,0.007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
3.3,0.5821,1.803,NaN,NaN,NaN,0.0031,0.004,0.0235,0.0123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Solvignon
NaN,0.1112,1.0535,NaN,1.147,0.1376,-0.0484,0.0316,0.0078,0.0226,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.1027,1.0624,NaN,1.147,0.1475,-0.0305,0.0323,0.0221,0.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0952,1.0714,NaN,1.147,0.1576,-0.0376,0.0348,0.0137,0.0276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0886,1.0802,NaN,1.147,0.1676,-0.0468,0.0348,-0.0362,0.031,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0829,1.0889,NaN,1.147,0.1774,0.0028,0.036,-0.0156,0.0339,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0776,1.0976,NaN,1.147,0.1874,-0.0539,0.0411,-0.0313,0.0393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0732,1.1057,NaN,1.147,0.1968,-0.0259,0.0477,-0.0215,0.0498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0686,1.1149,NaN,1.147,0.2075,-0.0869,0.5151,0.023,0.0808,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0648,1.1234,NaN,1.147,0.2175,-0.0693,0.0478,0.1328,0.0729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0613,1.1318,NaN,1.147,0.2275,-0.1033,0.0496,0.0052,0.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0581,1.1403,NaN,1.147,0.2375,-0.0578,0.0515,-0.041,0.0864,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0551,1.1486,NaN,1.147,0.2475,-0.075,0.0539,0.1924,0.0953,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0524,1.1568,NaN,1.147,0.2575,-0.1085,0.0564,0.1827,0.1041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0499,1.1648,NaN,1.147,0.2672,-0.2394,0.0731,0.1812,0.1004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0475,1.1732,NaN,1.147,0.2776,-0.2445,0.0629,0.5739,0.163,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
NaN,0.0453,1.1813,NaN,1.147,0.2875,-0.3136,0.066,0.3489,0.1745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,E97110
