Q2,X,W,Theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),sigma_LT,dsigma_LT(tot),sigma_TT,dsigma_TT(tot),Experiment
2.57,0.606,1.6,,,,,,,,,,,,,,,,-0.0011,0.0084,0.0016,0.0086,,,,,,,,Solvignon
2.35,0.499,1.8,,,,,,,,,,,,,,,,-0.0156,0.0086,0.0055,0.0102,,,,,,,,Solvignon
2.16,0.425,1.95,,,,,,,,,,,,,,,,-0.0208,0.0134,0.035,0.0375,,,,,,,,Solvignon
3.96,0.876,1.2,,,,,,,,,,,,,,,,0.0228,0.0177,0.0004,0.0177,,,,,,,,Solvignon
3.72,0.775,1.4,,,,,,,,,,,,,,,,0.0081,0.0143,0.0034,0.0147,,,,,,,,Solvignon
3.46,0.673,1.6,,,,,,,,,,,,,,,,-0.0002,0.0105,0.0016,0.0106,,,,,,,,Solvignon
3.15,0.572,1.8,,,,,,,,,,,,,,,,-0.0137,0.0095,0.0046,0.0106,,,,,,,,Solvignon
,0.033,,,,,,,,,,,,,,,,,-0.036,0.013,0.005,0.0139,,,,,,,,HERMES
,0.047,,,,,,,,,,,,,,,,,-0.009,0.014,0.003,0.0143,,,,,,,,HERMES
,0.065,,,,,,,,,,,,,,,,,-0.027,0.015,0.003,0.0153,,,,,,,,HERMES
,0.087,,,,,,,,,,,,,,,,,-0.025,0.018,0.003,0.0182,,,,,,,,HERMES
,0.119,,,,,,,,,,,,,,,,,-0.033,0.019,0.004,0.0194,,,,,,,,HERMES
,0.168,,,,,,,,,,,,,,,,,-0.037,0.023,0.005,0.0235,,,,,,,,HERMES
,0.245,,,,,,,,,,,,,,,,,-0.006,0.028,0.006,0.0286,,,,,,,,HERMES
,0.342,,,,,,,,,,,,,,,,,0.072,0.047,0.012,0.0485,,,,,,,,HERMES
,0.465,,,,,,,,,,,,,,,,,-0.021,0.066,0.019,0.0687,,,,,,,,HERMES
