Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
,0.0122,1.707,,2.135,1.0971,-0.1202,0.1643,3.597,2.1628,,,,,,,,,7
,0.012,1.7125,,2.135,1.107,0.2464,0.1656,-3.3627,2.2051,,,,,,,,,7
,0.0117,1.7181,,2.135,1.117,-0.0758,0.1676,-2.0063,2.2746,,,,,,,,,7
,0.0115,1.7236,,2.135,1.127,-0.2268,0.1668,-1.5234,2.2941,,,,,,,,,7
,0.0113,1.7291,,2.135,1.137,-0.1947,0.1666,-1.6476,2.3301,,,,,,,,,7
,0.0111,1.7346,,2.135,1.147,-0.2819,0.1686,-3.4779,2.3912,,,,,,,,,7
,0.0109,1.7398,,2.135,1.1565,-0.1154,0.1952,-0.4701,2.0459,,,,,,,,,7
,0.0107,1.7455,,2.135,1.167,0.2069,0.1944,-2.625,2.7499,,,,,,,,,7
,0.0105,1.751,,2.135,1.177,-0.4062,0.1992,-2.481,2.7734,,,,,,,,,7
,0.0103,1.7564,,2.135,1.187,-0.3695,0.198,1.5519,2.8722,,,,,,,,,7
,0.0101,1.7618,,2.135,1.1971,-0.6184,0.1995,2.4419,2.9123,,,,,,,,,7
,0.0099,1.7672,,2.135,1.207,-0.1537,0.2021,-1.8775,3.0336,,,,,,,,,7
,0.0097,1.7736,,2.135,1.219,-0.3261,0.1673,-0.4933,2.5453,,,,,,,,,7
,0.0096,1.7769,,2.135,1.2251,0.0714,0.2017,-1.4468,3.3412,,,,,,,,,7
,0.0094,1.7823,,2.135,1.2352,-0.5616,0.2036,-0.1982,3.3766,,,,,,,,,7
,0.0092,1.7877,,2.135,1.2454,0.011,0.2031,1.4122,3.4594,,,,,,,,,7
,0.009,1.793,,2.135,1.2554,-0.0976,0.204,0.0055,3.5472,,,,,,,,,7
,0.0089,1.7983,,2.135,1.2654,-0.1551,0.2022,4.8367,3.5577,,,,,,,,,7
