W,x,Q2,A1,dA1(stat),dA1(sys),,,	
1.57,0.2081,0.416,0.3272,0.0366,0.0492,,,
1.59,0.2017,0.416,0.2225,0.0398,0.0504,,,
1.11,0.586,0.496,0.4916,0.394,0.4961,,,
1.13,0.5566,0.496,0.1881,0.2084,0.3133,,,
1.15,0.5295,0.496,-0.0258,0.1184,0.1904,,,
1.17,0.5045,0.496,-0.3019,0.0755,0.1064,,,
1.19,0.4814,0.496,-0.421,0.0534,0.1035,,,
1.21,0.46,0.496,-0.3457,0.0402,0.0867,,,
1.23,0.44,0.496,-0.3895,0.0378,0.087,,,
1.25,0.4215,0.496,-0.1681,0.0389,0.0704,,,
1.27,0.4042,0.496,-0.1455,0.0441,0.0778,,,
1.29,0.388,0.496,-0.0793,0.0487,0.0813,,,
1.31,0.3728,0.496,0.0883,0.051,0.0799,,,
1.33,0.3586,0.496,0.0504,0.0551,0.0804,,,
1.35,0.3452,0.496,0.3217,0.0583,0.0787,,,
1.37,0.3326,0.496,0.1967,0.0579,0.0776,,,
1.39,0.3207,0.496,0.3566,0.0579,0.108,,,
1.41,0.3095,0.496,0.3469,0.0565,0.0782,,,
1.43,0.2989,0.496,0.2672,0.0567,0.0758,,,
1.45,0.2889,0.496,0.3864,0.0516,0.0711,,,
1.47,0.2794,0.496,0.4427,0.0466,0.0648,,,
1.49,0.2704,0.496,0.4538,0.0391,0.0583,,,
1.51,0.2618,0.496,0.4737,0.0366,0.0496,,,
1.53,0.2537,0.496,0.4535,0.0356,0.0483,,,
1.55,0.2459,0.496,0.4024,0.0407,0.0501,,,
1.57,0.2386,0.496,0.3469,0.0458,0.0492,,,
1.11,0.6282,0.592,-0.7682,0.3835,0.5217,,,
1.13,0.5997,0.592,0.0223,0.2068,0.2939,,,
1.15,0.5732,0.592,-0.0582,0.13,0.1764,,,
1.17,0.5486,0.592,-0.1598,0.0834,0.0951,,,
1.19,0.5256,0.592,-0.4037,0.0598,0.0914,,,
1.21,0.5041,0.592,-0.4323,0.0459,0.087,,,
1.23,0.484,0.592,-0.2853,0.0425,0.0686,,,
1.25,0.4651,0.592,-0.2558,0.0462,0.0708,,,
1.27,0.4474,0.592,-0.0929,0.0499,0.0689,,,
1.29,0.4307,0.592,-0.0964,0.0567,0.0758,,,
1.31,0.415,0.592,0.1532,0.0642,0.0741,,,
1.33,0.4002,0.592,0.1222,0.0719,0.0745,,,
1.35,0.3862,0.592,0.4034,0.0702,0.074,,,
1.37,0.373,0.592,0.3067,0.0669,0.0734,,,
1.39,0.3605,0.592,0.329,0.0608,0.074,,,
1.41,0.3486,0.592,0.3259,0.0624,0.0745,,,
1.43,0.3373,0.592,0.3436,0.0618,0.0726,,,
1.45,0.3266,0.592,0.4515,0.0624,0.0681,,,
1.47,0.3164,0.592,0.4927,0.06,0.0622,,,
1.49,0.3067,0.592,0.4795,0.0604,0.0574,,,
1.51,0.2974,0.592,0.4626,0.0677,0.0478,,,
1.53,0.2886,0.592,0.3255,0.0989,0.045,,,
