Q2,W,A1,dA1(stat),dA1(sys),g1,dg1(stat),dg1(sys),g1/F1,dg1/F1(stat),dg1/F1(sys)
0.08472,1.54,-0.20278,0.1798,0.02987,-0.14529,0.15868,0.02565,-0.14705,0.16046,0.02606
0.08454,1.5799,-0.12883,0.17725,0.02721,-0.07851,0.15743,0.02351,-0.08019,0.16069,0.02408
0.08471,1.62,0.09378,0.17963,0.02249,0.11215,0.16095,0.02012,0.11499,0.16491,0.02044
0.08469,1.6606,-0.23049,0.14376,0.01899,-0.20066,0.1374,0.01805,-0.19815,0.13343,0.01745
0.08421,1.6998,0.01249,0.13089,0.02385,0.02508,0.14419,0.02566,0.01967,0.12258,0.02183
0.08422,1.7403,0.01147,0.13594,0.02892,0.01304,0.15773,0.03313,0.01094,0.1283,0.02698
0.08429,1.7778,-0.30119,0.13296,0.02506,-0.34823,0.1609,0.03047,-0.27754,0.1263,0.02449
0.0841,1.8199,-0.00296,0.12849,0.01516,0.00937,0.16482,0.02243,0.00579,0.12274,0.01725
0.08404,1.8599,-0.15613,0.12587,0.02026,-0.20111,0.17146,0.03159,-0.14418,0.12082,0.02178
0.08405,1.8998,-0.45774,0.13834,0.0305,-0.65527,0.19877,0.04599,-0.43926,0.13333,0.03058
0.08433,1.9406,-0.38616,0.15302,0.03131,-0.5848,0.23105,0.04803,-0.37454,0.14802,0.03095
0.08414,1.9802,-0.10947,0.15854,0.03132,-0.18353,0.25007,0.05037,-0.11011,0.15387,0.03076
0.08397,2.0198,0.32594,0.17548,0.03546,0.52379,0.28727,0.05867,0.3125,0.17078,0.03471
0.08373,2.0507,0.21991,0.28814,0.0311,0.36284,0.48674,0.05237,0.21021,0.28103,0.0305
0.08712,2.5851,0.5785,0.42305,0.07973,1.5006,1.0934,0.20417,0.57213,0.41934,0.07901
0.08602,2.6235,-0.1394,0.25006,0.04253,-0.36594,0.6583,0.11029,-0.13953,0.24803,0.04219
0.08485,2.6581,-0.14797,0.2169,0.00761,-0.40069,0.58003,0.01995,-0.14812,0.21527,0.00759
0.10084,1.1406,0.35189,0.63547,0.17033,0.09695,0.11505,0.03257,0.22652,0.28323,0.08772
0.10091,1.1805,-0.49608,0.23092,0.13995,-0.28603,0.15348,0.07562,-0.24648,0.12051,0.0539
0.10094,1.22,-0.49956,0.15053,0.13039,-0.53672,0.16405,0.10041,-0.29128,0.08817,0.06029
0.10095,1.2595,-0.28236,0.16475,0.10058,-0.2055,0.15267,0.08502,-0.16626,0.10622,0.0555
0.10115,1.2996,-0.46643,0.19693,0.06596,-0.28555,0.138,0.05407,-0.28374,0.13744,0.04984
0.10125,1.3399,-0.12827,0.20595,0.03692,-0.02955,0.12296,0.04194,-0.0347,0.15307,0.05024
0.10114,1.38,0.06137,0.19083,0.02877,0.08701,0.10968,0.03432,0.11999,0.14892,0.04495
0.10109,1.4201,-0.27778,0.18038,0.03265,-0.11899,0.10934,0.02695,-0.15669,0.14632,0.03566
0.10097,1.4601,-0.44405,0.16574,0.0303,-0.26062,0.11742,0.02206,-0.31461,0.13881,0.02714
0.10074,1.4999,-0.09153,0.14486,0.02443,-0.0387,0.1219,0.01643,-0.03953,0.12441,0.01814
0.1008,1.5399,-0.16517,0.147,0.02045,-0.10202,0.12438,0.01225,-0.10588,0.12895,0.01301
0.10076,1.5799,-0.21596,0.13673,0.02052,-0.14355,0.11635,0.01288,-0.15057,0.12204,0.01419
0.10058,1.6201,-0.29101,0.13395,0.02093,-0.21693,0.11493,0.01556,-0.22882,0.12131,0.01696
0.10037,1.6598,-0.36347,0.13014,0.02137,-0.31013,0.11886,0.01899,-0.31468,0.11933,0.01904
0.1005,1.6997,0.08259,0.11972,0.02568,0.09081,0.12637,0.02697,0.08526,0.11089,0.02372
0.10049,1.7403,0.12107,0.11998,0.02765,0.13595,0.13292,0.03121,0.11384,0.11212,0.02622
0.10021,1.7771,0.00601,0.11991,0.02158,0.01891,0.13798,0.02743,0.01459,0.11288,0.02248
0.10058,1.82,-0.26453,0.13363,0.01659,-0.30556,0.16311,0.0256,-0.24089,0.12664,0.02004
0.10044,1.8598,-0.22699,0.13431,0.0261,-0.28522,0.17397,0.03822,-0.21014,0.128,0.02763
0.10059,1.9003,-0.56573,0.13703,0.0368,-0.76819,0.1876,0.05262,-0.53954,0.13122,0.0366
0.10035,1.94,-0.4845,0.14567,0.03623,-0.69125,0.20925,0.05233,-0.4668,0.14009,0.03558
0.10029,1.9801,-0.06403,0.14899,0.02699,-0.10605,0.22375,0.0405,-0.06619,0.14384,0.02652
0.10021,2.0196,0.01219,0.1753,0.02169,0.01114,0.27352,0.03438,0.00658,0.16977,0.02139
0.09989,2.0487,0.06614,0.31008,0.98288,0.09695,0.49855,1.6932,0.05932,0.30102,0.95733
0.10491,2.4641,0.19343,0.67447,0.06468,0.43937,1.5479,0.14907,0.18885,0.6657,0.06383
0.10416,2.5032,-0.71568,0.36743,0.06097,-1.683,0.86508,0.14367,-0.70887,0.36301,0.06021
0.10315,2.5437,-0.30934,0.25918,0.04509,-0.74321,0.62456,0.1068,-0.30759,0.25631,0.04453
0.10172,2.5818,-0.14105,0.17459,0.01689,-0.34878,0.4289,0.04099,-0.14123,0.1728,0.0167
0.1008,2.6209,0.01198,0.15114,0.01375,0.02539,0.37789,0.03455,0.0103,0.1497,0.01363
0.1001,2.6553,-0.22992,0.18328,0.01433,-0.58598,0.4649,0.03618,-0.22933,0.18165,0.01418
0.12034,1.1406,-0.07932,0.54465,0.21157,-0.00409,0.09216,0.0316,0.02715,0.22877,0.09719
0.12043,1.1805,-0.47528,0.19587,0.14932,-0.25167,0.1227,0.06844,-0.22157,0.09659,0.05094
0.12052,1.2201,-0.22428,0.12609,0.13959,-0.23569,0.1301,0.0907,-0.12506,0.07006,0.05513
0.12048,1.2597,-0.31491,0.13591,0.11186,-0.24187,0.11943,0.07857,-0.17479,0.08357,0.05158
0.12029,1.2996,-0.40508,0.15925,0.07564,-0.22545,0.10603,0.05194,-0.22811,0.10662,0.04878
0.12012,1.3396,-0.07087,0.17151,0.03987,0.00996,0.09745,0.04244,0.01519,0.12286,0.05265
0.12002,1.3798,-0.33035,0.16672,0.02023,-0.12372,0.0911,0.03565,-0.17153,0.12603,0.04744
0.12009,1.4199,0.03549,0.15887,0.02219,0.07987,0.09157,0.02565,0.10882,0.12526,0.03473
0.12023,1.46,-0.3968,0.14867,0.02942,-0.2188,0.10024,0.02183,-0.25955,0.12139,0.02662
0.12009,1.4999,0.07876,0.13028,0.03446,0.1061,0.10429,0.0214,0.10936,0.1094,0.02316
0.11973,1.5396,0.18165,0.1311,0.03251,0.1876,0.10562,0.01853,0.20024,0.11274,0.01949
0.11978,1.5797,-0.22687,0.13334,0.02627,-0.13966,0.10802,0.0131,-0.15155,0.11696,0.0142
0.12006,1.6199,-0.02667,0.13003,0.02006,0.01483,0.10612,0.00978,0.01619,0.11592,0.01081
0.12015,1.6599,-0.14011,0.12263,0.01603,-0.1052,0.10665,0.01111,-0.10595,0.11086,0.01116
0.12009,1.7,-0.07488,0.11007,0.02041,-0.06682,0.11079,0.02018,-0.05767,0.10069,0.01831
0.11988,1.7397,-0.1195,0.1078,0.02367,-0.12506,0.11335,0.02574,-0.10975,0.0996,0.02279
0.11973,1.7775,-0.04672,0.12161,0.01715,-0.03946,0.13261,0.02283,-0.03365,0.11333,0.01975
0.11978,1.8197,-0.13064,0.13118,0.01051,-0.13449,0.15145,0.02109,-0.1121,0.12319,0.01721
0.12002,1.8602,-0.24211,0.13254,0.01892,-0.28466,0.16238,0.02929,-0.22182,0.12528,0.02231
0.11975,1.8999,-0.41413,0.13473,0.02631,-0.53405,0.17435,0.03744,-0.39152,0.12807,0.02729
0.11978,1.94,-0.35862,0.14754,0.02911,-0.48724,0.20052,0.04158,-0.34395,0.14093,0.02897
0.11967,1.9797,-0.39061,0.15183,0.02763,-0.56594,0.21588,0.04027,-0.3798,0.14568,0.02707
