Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
1.22,0.162,16.2,-1.5983,0.6978,0.0625,0.7006,-0.639,0.279,0.025,0.2801,-0.638,0.279,0.026,0.2802
2.14,0.162,16.2,0.1031,0.5576,0.0476,0.5596,0.039,0.211,0.018,0.2118,0.039,0.211,0.019,0.2119
3.3,0.162,29.1,-0.1997,0.3169,0.0533,0.3214,-0.075,0.119,0.02,0.1207,-0.112,0.124,0.021,0.1258
5.13,0.162,29.1,-0.4211,0.2543,0.0371,0.257,-0.159,0.096,0.014,0.097,-0.138,0.097,0.015,0.0982
0.97,0.182,9.7,0.3283,0.3871,0.0761,0.3945,0.151,0.178,0.035,0.1814,-0.148,0.178,0.036,0.1816
1.25,0.182,16.2,0.4345,0.6983,0.0621,0.7011,0.196,0.315,0.028,0.3162,0.198,0.315,0.029,0.3163
2.25,0.182,16.2,0.6099,0.5305,0.0491,0.5328,0.261,0.227,0.021,0.228,0.261,0.227,0.022,0.2281
3.45,0.182,29.1,-0.0706,0.3152,0.0494,0.319,-0.03,0.134,0.021,0.1356,0.013,0.14,0.023,0.1419
5.49,0.182,29.1,0.3155,0.2343,0.0371,0.2372,0.136,0.101,0.016,0.1023,0.132,0.102,0.017,0.1034
1.0,0.205,9.7,0.5655,0.3731,0.07,0.3796,0.291,0.192,0.036,0.1953,-0.285,0.19,0.037,0.1936
1.29,0.205,16.2,0.2653,0.6978,0.0609,0.7005,0.135,0.355,0.031,0.3564,0.137,0.355,0.032,0.3564
2.36,0.205,16.2,-0.2252,0.5117,0.0471,0.5139,-0.11,0.25,0.023,0.2511,-0.109,0.25,0.024,0.2511
3.59,0.205,29.1,-0.0533,0.3096,0.0615,0.3156,-0.026,0.151,0.03,0.154,20.032,0.16,0.025,0.1619
5.86,0.205,29.1,-0.4714,0.2167,0.0361,0.2197,-0.235,0.108,0.018,0.1095,-0.167,0.11,0.019,0.1116
1.03,0.23,9.7,0.0017,0.3565,0.0678,0.3629,0.001,0.205,0.039,0.2087,0.005,0.204,0.039,0.2077
1.32,0.23,16.2,-0.2183,0.6947,0.0589,0.6972,-0.126,0.401,0.034,0.4024,-0.123,0.401,0.035,0.4025
