Q2,x,W,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
0.12,0.1708,1.21,,,,,,,,,-0.3655,0.0919,0.089,0.1279
0.12,0.1597,1.23,,,,,,,,,-0.233,0.0835,0.0789,0.1149
0.12,0.1499,1.25,,,,,,,,,-0.3601,0.0849,0.0892,0.1231
0.12,0.141,1.27,,,,,,,,,-0.1021,0.0982,0.0917,0.1344
0.12,0.133,1.29,,,,,,,,,-0.1973,0.1077,0.1011,0.1477
0.12,0.1257,1.31,,,,,,,,,-0.093,0.118,0.1016,0.1557
0.12,0.1191,1.33,,,,,,,,,0.2203,0.1185,0.0966,0.1529
0.12,0.1131,1.35,,,,,,,,,0.1823,0.1188,0.0891,0.1485
0.12,0.1076,1.37,,,,,,,,,0.252,0.1146,0.0789,0.1391
0.12,0.1025,1.39,,,,,,,,,0.1946,0.1122,0.0689,0.1317
0.12,0.0979,1.41,,,,,,,,,0.0236,0.1044,0.0593,0.1201
0.12,0.0935,1.43,,,,,,,,,-0.0655,0.0966,0.0502,0.1089
0.12,0.0895,1.45,,,,,,,,,-0.0962,0.0899,0.0423,0.0994
0.12,0.0858,1.47,,,,,,,,,0.0561,0.0786,0.0354,0.0862
0.12,0.0823,1.49,,,,,,,,,0.2203,0.0725,0.0309,0.0788
0.12,0.079,1.51,,,,,,,,,0.0462,0.0672,0.0262,0.0721
0.12,0.076,1.53,,,,,,,,,0.0093,0.0701,0.0246,0.0743
0.12,0.0731,1.55,,,,,,,,,0.051,0.0743,0.0247,0.0783
0.12,0.0705,1.57,,,,,,,,,0.0077,0.0789,0.0237,0.0824
0.12,0.0679,1.59,,,,,,,,,-0.0748,0.0765,0.0228,0.0798
0.12,0.0656,1.61,,,,,,,,,0.1088,0.0759,0.0229,0.0793
0.12,0.0633,1.63,,,,,,,,,-0.0417,0.0701,0.0195,0.0728
0.144,0.2913,1.11,,,,,,,,,-0.7596,0.7261,0.6282,0.9601
0.144,0.2671,1.13,,,,,,,,,0.2673,0.3891,0.3705,0.5373
0.144,0.2462,1.15,,,,,,,,,0.3359,0.2377,0.2302,0.3309
0.144,0.2281,1.17,,,,,,,,,-0.2889,0.168,0.1407,0.2191
0.144,0.2123,1.19,,,,,,,,,-0.3764,0.1207,0.1086,0.1624
0.144,0.1982,1.21,,,,,,,,,-0.4849,0.0952,0.1007,0.1386
0.144,0.1858,1.23,,,,,,,,,-0.3091,0.0855,0.0841,0.1199
0.144,0.1746,1.25,,,,,,,,,-0.2064,0.0882,0.0849,0.1224
0.144,0.1645,1.27,,,,,,,,,-0.1087,0.0949,0.0918,0.132
0.144,0.1554,1.29,,,,,,,,,-0.159,0.1087,0.1015,0.1487
0.144,0.1472,1.31,,,,,,,,,0.0325,0.1165,0.1008,0.1541
0.144,0.1396,1.33,,,,,,,,,0.0162,0.1235,0.0988,0.1582
0.144,0.1327,1.35,,,,,,,,,0.129,0.1189,0.0906,0.1495
0.144,0.1264,1.37,,,,,,,,,0.1258,0.1211,0.0805,0.1454
0.144,0.1206,1.39,,,,,,,,,0.1658,0.1214,0.0701,0.1402
0.144,0.1152,1.41,,,,,,,,,0.1453,0.105,0.0606,0.1212
0.144,0.1102,1.43,,,,,,,,,0.0067,0.098,0.0515,0.1107
0.144,0.1055,1.45,,,,,,,,,0.0776,0.0869,0.043,0.097
0.144,0.1012,1.47,,,,,,,,,-0.0619,0.0808,0.0346,0.0879
0.144,0.0971,1.49,,,,,,,,,-0.0127,0.0707,0.0284,0.0762
0.144,0.0934,1.51,,,,,,,,,0.0686,0.0657,0.0252,0.0704
0.144,0.0898,1.53,,,,,,,,,0.0098,0.0654,0.024,0.0697
0.144,0.0865,1.55,,,,,,,,,0.1077,0.0678,0.0255,0.0724
0.144,0.0834,1.57,,,,,,,,,0.1499,0.0674,0.0262,0.0723
0.144,0.0804,1.59,,,,,,,,,0.0567,0.072,0.0241,0.0759
0.144,0.0777,1.61,,,,,,,,,0.0439,0.0674,0.0227,0.0711
0.171,0.328,1.11,,,,,,,,,-0.019,0.7302,0.6111,0.9522
0.171,0.302,1.13,,,,,,,,,-0.1143,0.3792,0.3842,0.5398
0.171,0.2795,1.15,,,,,,,,,-0.3239,0.2364,0.2316,0.3309
