Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
5.26,0.259,,0.049,0.017,0.004,0.0175,,,,,,,,
5.53,0.292,,0.089,0.016,0.004,0.0165,,,,,,,,
6.01,0.329,,0.091,0.015,0.004,0.0155,,,,,,,,
6.29,0.37,,0.076,0.014,0.004,0.0146,,,,,,,,
6.56,0.416,,0.045,0.013,0.003,0.0133,,,,,,,,
6.79,0.468,,0.045,0.012,0.002,0.0122,,,,,,,,
7.72,0.526,,0.043,0.011,0.002,0.0112,,,,,,,,
7.97,0.592,,0.019,0.009,0.001,0.0091,,,,,,,,
9.26,0.666,,0.008,0.007,0.001,0.0071,,,,,,,,
9.52,0.749,,0.009,0.005,0.001,0.0051,,,,,,,,
2.0,0.031,,0.166,0.162,0.033,0.1653,,,,,,,,
2.0,0.035,,0.029,0.104,0.027,0.1074,,,,,,,,
2.0,0.039,,0.202,0.084,0.022,0.0868,,,,,,,,
2.0,0.044,,−0.038,0.071,0.01,0.0717,,,,,,,,
2.0,0.049,,−0.035,0.06,0.01,0.0608,,,,,,,,
2.0,0.056,,0.040,0.052,0.011,0.0532,,,,,,,,
2.0,0.063,,0.027,0.045,0.008,0.0457,,,,,,,,
2.0,0.071,,0.053,0.04,0.006,0.0404,,,,,,,,
2.0,0.079,,0.038,0.036,0.005,0.0363,,,,,,,,
2.0,0.09,,0.120,0.03,0.005,0.0304,,,,,,,,
2.0,0.101,,0.079,0.028,0.004,0.0283,,,,,,,,
2.0,0.113,,0.064,0.025,0.003,0.0252,,,,,,,,
2.0,0.128,,0.128,0.023,0.004,0.0233,,,,,,,,
2.0,0.144,,0.130,0.021,0.004,0.0214,,,,,,,,
2.0,0.162,,0.071,0.02,0.003,0.0202,,,,,,,,
2.0,0.182,,0.141,0.019,0.004,0.0194,,,,,,,,
2.0,0.205,,0.068,0.017,0.005,0.0177,,,,,,,,
2.0,0.23,,0.071,0.016,0.005,0.0168,,,,,,,,
2.0,0.259,,0.049,0.017,0.004,0.0175,,,,,,,,
2.0,0.292,,0.094,0.017,0.004,0.0175,,,,,,,,
2.0,0.329,,0.100,0.017,0.004,0.0175,,,,,,,,
2.0,0.37,,0.089,0.017,0.004,0.0175,,,,,,,,
2.0,0.416,,0.057,0.016,0.004,0.0165,,,,,,,,
2.0,0.468,,0.064,0.017,0.004,0.0175,,,,,,,,
2.0,0.526,,0.074,0.019,0.004,0.0194,,,,,,,,
2.0,0.592,,0.043,0.02,0.002,0.0201,,,,,,,,
2.0,0.666,,0.026,0.024,0.002,0.0241,,,,,,,,
2.0,0.749,,0.048,0.025,0.002,0.0251,,,,,,,,
3.0,0.031,,0.180,0.176,0.036,0.1796,,,,,,,,
3.0,0.035,,0.031,0.112,0.029,0.1157,,,,,,,,
3.0,0.039,,0.218,0.091,0.024,0.0941,,,,,,,,
3.0,0.044,,−0.040,0.076,0.01,0.0767,,,,,,,,
3.0,0.049,,−0.037,0.064,0.01,0.0648,,,,,,,,
3.0,0.056,,0.042,0.056,0.011,0.0571,,,,,,,,
3.0,0.063,,0.028,0.048,0.008,0.0487,,,,,,,,
3.0,0.071,,0.056,0.042,0.007,0.0426,,,,,,,,
3.0,0.079,,0.040,0.038,0.005,0.0383,,,,,,,,
3.0,0.09,,0.125,0.032,0.005,0.0324,,,,,,,,
3.0,0.101,,0.083,0.029,0.004,0.0293,,,,,,,,
3.0,0.113,,0.067,0.026,0.004,0.0263,,,,,,,,
3.0,0.128,,0.133,0.024,0.004,0.0243,,,,,,,,
3.0,0.144,,0.135,0.022,0.004,0.0224,,,,,,,,
3.0,0.162,,0.073,0.02,0.004,0.0204,,,,,,,,
3.0,0.182,,0.143,0.019,0.004,0.0194,,,,,,,,
3.0,0.205,,0.069,0.017,0.005,0.0177,,,,,,,,
3.0,0.23,,0.071,0.016,0.005,0.0168,,,,,,,,
3.0,0.259,,0.049,0.017,0.004,0.0175,,,,,,,,
3.0,0.292,,0.092,0.016,0.004,0.0165,,,,,,,,
3.0,0.329,,0.096,0.016,0.004,0.0165,,,,,,,,
3.0,0.37,,0.083,0.016,0.004,0.0165,,,,,,,,
3.0,0.416,,0.051,0.015,0.003,0.0153,,,,,,,,
3.0,0.468,,0.055,0.014,0.003,0.0143,,,,,,,,
3.0,0.526,,0.060,0.015,0.003,0.0153,,,,,,,,
3.0,0.592,,0.031,0.014,0.002,0.0141,,,,,,,,
3.0,0.666,,0.017,0.016,0.001,0.016,,,,,,,,
3.0,0.749,,0.028,0.014,0.001,0.014,,,,,,,,
5.0,0.031,,0.198,0.194,0.04,0.1981,,,,,,,,
5.0,0.035,,0.034,0.124,0.032,0.1281,,,,,,,,
5.0,0.039,,0.239,0.1,0.027,0.1036,,,,,,,,
5.0,0.044,,−0.044,0.083,0.02,0.0854,,,,,,,,
5.0,0.049,,−0.040,0.07,0.016,0.0718,,,,,,,,
5.0,0.056,,0.046,0.061,0.012,0.0622,,,,,,,,
5.0,0.063,,0.031,0.052,0.009,0.0528,,,,,,,,
5.0,0.071,,0.060,0.046,0.007,0.0465,,,,,,,,
5.0,0.079,,0.044,0.041,0.006,0.0414,,,,,,,,
5.0,0.09,,0.135,0.034,0.005,0.0344,,,,,,,,
5.0,0.101,,0.089,0.031,0.004,0.0313,,,,,,,,
5.0,0.113,,0.072,0.028,0.004,0.0283,,,,,,,,
5.0,0.128,,0.141,0.025,0.004,0.0253,,,,,,,,
5.0,0.144,,0.142,0.023,0.004,0.0233,,,,,,,,
5.0,0.162,,0.076,0.021,0.004,0.0214,,,,,,,,
5.0,0.182,,0.148,0.02,0.005,0.0206,,,,,,,,
5.0,0.205,,0.070,0.017,0.005,0.0177,,,,,,,,
5.0,0.23,,0.072,0.016,0.005,0.0168,,,,,,,,
5.0,0.259,,0.049,0.017,0.004,0.0175,,,,,,,,
5.0,0.292,,0.090,0.016,0.004,0.0165,,,,,,,,
5.0,0.329,,0.092,0.016,0.004,0.0165,,,,,,,,
5.0,0.37,,0.078,0.015,0.004,0.0155,,,,,,,,
5.0,0.416,,0.047,0.014,0.003,0.0143,,,,,,,,
5.0,0.468,,0.048,0.012,0.002,0.0122,,,,,,,,
5.0,0.526,,0.049,0.012,0.002,0.0122,,,,,,,,
5.0,0.592,,0.023,0.011,0.001,0.011,,,,,,,,
5.0,0.666,,0.011,0.01,0.001,0.01,,,,,,,,
5.0,0.749,,0.016,0.008,0.001,0.0081,,,,,,,,
