x,Q2,W,Eb,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),Experiment
0.1382,0.0707,1.15,,,,,,,,,,,0.4198,0.2787,0.2212,0.3558,CLAS_EG1b
0.1267,0.0707,1.17,,,,,,,,,,,-0.378,0.1882,0.1515,0.2416,CLAS_EG1b
0.1168,0.0707,1.19,,,,,,,,,,,-0.4411,0.1312,0.107,0.1693,CLAS_EG1b
0.1083,0.0707,1.21,,,,,,,,,,,-0.6172,0.0976,0.0929,0.1347,CLAS_EG1b
0.1007,0.0707,1.23,,,,,,,,,,,-0.4868,0.0926,0.0849,0.1256,CLAS_EG1b
0.0941,0.0707,1.25,,,,,,,,,,,-0.2326,0.0938,0.0841,0.126,CLAS_EG1b
0.0882,0.0707,1.27,,,,,,,,,,,-0.102,0.1078,0.0899,0.1404,CLAS_EG1b
0.0829,0.0707,1.29,,,,,,,,,,,-0.0866,0.1185,0.0956,0.1523,CLAS_EG1b
0.0781,0.0707,1.31,,,,,,,,,,,-0.1007,0.1269,0.0966,0.1595,CLAS_EG1b
0.0738,0.0707,1.33,,,,,,,,,,,-0.0312,0.1248,0.0923,0.1552,CLAS_EG1b
0.0699,0.0707,1.35,,,,,,,,,,,0.0212,0.1254,0.0847,0.1513,CLAS_EG1b
0.0663,0.0707,1.37,,,,,,,,,,,0.0591,0.1264,0.0752,0.1471,CLAS_EG1b
0.0631,0.0707,1.39,,,,,,,,,,,-0.2438,0.1193,0.066,0.1363,CLAS_EG1b
0.0601,0.0707,1.41,,,,,,,,,,,0.193,0.1094,0.0595,0.1245,CLAS_EG1b
0.0573,0.0707,1.43,,,,,,,,,,,-0.1654,0.1004,0.0524,0.1133,CLAS_EG1b
0.0547,0.0707,1.45,,,,,,,,,,,-0.0185,0.0907,0.0493,0.1032,CLAS_EG1b
0.0524,0.0707,1.47,,,,,,,,,,,-0.1601,0.08,0.0467,0.0926,CLAS_EG1b
0.0502,0.0707,1.49,,,,,,,,,,,0.006,0.0689,0.0426,0.081,CLAS_EG1b
0.0481,0.0707,1.51,,,,,,,,,,,-0.0209,0.0667,0.0388,0.0772,CLAS_EG1b
0.0462,0.0707,1.53,,,,,,,,,,,0.0361,0.0697,0.0365,0.0787,CLAS_EG1b
0.0444,0.0707,1.55,,,,,,,,,,,0.078,0.0731,0.0346,0.0809,CLAS_EG1b
0.0428,0.0707,1.57,,,,,,,,,,,-0.0092,0.0809,0.0292,0.086,CLAS_EG1b
0.0412,0.0707,1.59,,,,,,,,,,,-0.1307,0.0794,0.0253,0.0833,CLAS_EG1b
0.0397,0.0707,1.61,,,,,,,,,,,-0.1987,0.082,0.0238,0.0854,CLAS_EG1b
0.0383,0.0707,1.63,,,,,,,,,,,-0.0135,0.0772,0.0192,0.0796,CLAS_EG1b
0.037,0.0707,1.65,,,,,,,,,,,-0.1093,0.0841,0.0205,0.0866,CLAS_EG1b
0.1941,0.0844,1.11,,,,,,,,,,,0.3039,0.9276,0.5626,1.0849,CLAS_EG1b
0.176,0.0844,1.13,,,,,,,,,,,0.511,0.452,0.3578,0.5765,CLAS_EG1b
0.1607,0.0844,1.15,,,,,,,,,,,-0.3449,0.2601,0.2402,0.354,CLAS_EG1b
0.1477,0.0844,1.17,,,,,,,,,,,-0.448,0.165,0.1505,0.2233,CLAS_EG1b
0.1364,0.0844,1.19,,,,,,,,,,,-0.2799,0.112,0.1038,0.1527,CLAS_EG1b
0.1266,0.0844,1.21,,,,,,,,,,,-0.4414,0.0896,0.0881,0.1257,CLAS_EG1b
0.1179,0.0844,1.23,,,,,,,,,,,-0.3122,0.0862,0.0802,0.1177,CLAS_EG1b
0.1103,0.0844,1.25,,,,,,,,,,,-0.3097,0.0882,0.0856,0.1229,CLAS_EG1b
0.1035,0.0844,1.27,,,,,,,,,,,-0.1227,0.0984,0.091,0.134,CLAS_EG1b
0.0974,0.0844,1.29,,,,,,,,,,,-0.2225,0.1088,0.0982,0.1466,CLAS_EG1b
0.0919,0.0844,1.31,,,,,,,,,,,-0.0832,0.1185,0.0984,0.154,CLAS_EG1b
0.0869,0.0844,1.33,,,,,,,,,,,-0.0655,0.1243,0.0946,0.1562,CLAS_EG1b
0.0823,0.0844,1.35,,,,,,,,,,,-0.0806,0.1233,0.0868,0.1508,CLAS_EG1b
