1 SLAC E142
2 SLAC E154
3 Zheng
4 Kramer
5 Flay
6 Solvignon
7 E97110
8 E94010


Q2,X,W,Theta,Eb,nu,G1.mes,G1.mes.err,G2.mes,G2.mes.err,G1F1.mes,G1F1.mes.err,G2F1.mes,G2F1.mes.err,sigma_LT.mes,sigma_LT.mes.err,sigma_TT.mes,sigma_TT.mes.err,Experiment
3.4210,0.3740,2.5703,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0060,0.0091,-0.0010,0.0120,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
3.8020,0.4240,2.4587,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0220,0.0092,-0.0050,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.1690,0.4740,2.3466,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0210,0.0104,0.0070,0.0112,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.5140,0.5240,2.2318,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0020,0.0120,0.0,0.0122,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
4.8480,0.5730,2.1197,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0040,0.0151,0.0060,0.0132,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
5.1760,0.6240,1.9998,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0030,0.0182,-0.0110,0.0150,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
5.4860,0.6740,1.8798,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-0.0040,0.0221,-0.0030,0.0171,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
5.7770,0.7230,1.7589,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0010,0.0282,-0.0100,0.0212,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
6.0590,0.7730,1.6308,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0080,0.0352,0.0070,0.0252,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
6.3250,0.8230,1.4969,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0090,0.0488,-0.0950,0.0324,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
6.5850,0.8730,1.3558,45.0000,5890.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,0.0110,0.0646,-0.0200,0.0416,-1000.0000,-1000.0000,-1000.0000,-1000.0000,5
1.2000,0.7820,1.1030,-1000.0000,-1000.0000,-1000.0000,-0.0026,0.0019,-0.0013,0.0012,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.6799,1.2030,-1000.0000,-1000.0000,-1000.0000,-0.0094,0.0025,0.0038,0.0020,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.5954,1.3030,-1000.0000,-1000.0000,-1000.0000,-0.0134,0.0038,0.0110,0.0039,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.5249,1.4030,-1000.0000,-1000.0000,-1000.0000,-0.0114,0.0044,0.0095,0.0055,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.4657,1.5030,-1000.0000,-1000.0000,-1000.0000,-0.0047,0.0058,0.0114,0.0097,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.4156,1.6030,-1000.0000,-1000.0000,-1000.0000,0.0007,0.0077,0.0146,0.0176,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.3729,1.7030,-1000.0000,-1000.0000,-1000.0000,-0.0032,0.0101,0.0041,0.0271,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.2000,0.3363,1.8030,-1000.0000,-1000.0000,-1000.0000,-0.0050,0.0126,-0.0379,0.0380,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.8500,1.1030,-1000.0000,-1000.0000,-1000.0000,0.0001,0.0020,-0.0040,0.0022,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.7706,1.2030,-1000.0000,-1000.0000,-1000.0000,-0.0044,0.0029,0.0008,0.0029,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.6995,1.3030,-1000.0000,-1000.0000,-1000.0000,-0.0067,0.0047,0.0056,0.0045,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.6362,1.4030,-1000.0000,-1000.0000,-1000.0000,-0.0093,0.0048,0.0097,0.0060,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.5798,1.5030,-1000.0000,-1000.0000,-1000.0000,-0.0071,0.0051,-0.0070,0.0082,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.5296,1.6030,-1000.0000,-1000.0000,-1000.0000,-0.0006,0.0060,0.0052,0.0122,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.4849,1.7030,-1000.0000,-1000.0000,-1000.0000,-0.0012,0.0077,0.0197,0.0176,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
1.9000,0.4451,1.8030,-1000.0000,-1000.0000,-1000.0000,-0.0065,0.0089,-0.0241,0.0232,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.8857,1.1030,-1000.0000,-1000.0000,-1000.0000,0.0001,0.0011,-0.0033,0.0013,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.8212,1.2030,-1000.0000,-1000.0000,-1000.0000,-0.0008,0.0013,-0.0004,0.0017,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.7610,1.3030,-1000.0000,-1000.0000,-1000.0000,-0.0008,0.0019,0.0012,0.0025,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.7052,1.4030,-1000.0000,-1000.0000,-1000.0000,-0.0010,0.0021,-0.0007,0.0034,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.6537,1.5030,-1000.0000,-1000.0000,-1000.0000,-0.0001,0.0025,0.0010,0.0045,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.6064,1.6030,-1000.0000,-1000.0000,-1000.0000,0.0002,0.0029,0.0024,0.0057,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.5630,1.7030,-1000.0000,-1000.0000,-1000.0000,-0.0089,0.0041,0.0075,0.0080,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
2.6000,0.5233,1.8030,-1000.0000,-1000.0000,-1000.0000,-0.0043,0.0046,0.0056,0.0106,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.9077,1.1030,-1000.0000,-1000.0000,-1000.0000,-0.0002,0.0005,-0.0024,0.0008,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.8536,1.2030,-1000.0000,-1000.0000,-1000.0000,0.0008,0.0005,-0.0011,0.0010,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.8016,1.3030,-1000.0000,-1000.0000,-1000.0000,0.0012,0.0007,-0.0015,0.0015,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.7522,1.4030,-1000.0000,-1000.0000,-1000.0000,0.0012,0.0011,-0.0038,0.0023,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.7055,1.5030,-1000.0000,-1000.0000,-1000.0000,0.0003,0.0015,0.0007,0.0031,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.6616,1.6030,-1000.0000,-1000.0000,-1000.0000,0.0008,0.0020,0.0039,0.0043,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.6205,1.7030,-1000.0000,-1000.0000,-1000.0000,0.0016,0.0028,-0.0058,0.0070,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
3.3000,0.5821,1.8030,-1000.0000,-1000.0000,-1000.0000,0.0031,0.0040,0.0235,0.0123,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,6
-1000.0000,0.1112,1.0535,-1000.0000,1.1470,0.1376,-0.0484,0.0316,0.0078,0.0226,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.1027,1.0624,-1000.0000,1.1470,0.1475,-0.0305,0.0323,0.0221,0.0250,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0952,1.0714,-1000.0000,1.1470,0.1576,-0.0376,0.0348,0.0137,0.0276,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0886,1.0802,-1000.0000,1.1470,0.1676,-0.0468,0.0348,-0.0362,0.0310,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0829,1.0889,-1000.0000,1.1470,0.1774,0.0028,0.0360,-0.0156,0.0339,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0776,1.0976,-1000.0000,1.1470,0.1874,-0.0539,0.0411,-0.0313,0.0393,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0732,1.1057,-1000.0000,1.1470,0.1968,-0.0259,0.0477,-0.0215,0.0498,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0686,1.1149,-1000.0000,1.1470,0.2075,-0.0869,0.5151,0.0230,0.0808,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0648,1.1234,-1000.0000,1.1470,0.2175,-0.0693,0.0478,0.1328,0.0729,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0613,1.1318,-1000.0000,1.1470,0.2275,-0.1033,0.0496,0.0052,0.0790,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0581,1.1403,-1000.0000,1.1470,0.2375,-0.0578,0.0515,-0.0410,0.0864,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0551,1.1486,-1000.0000,1.1470,0.2475,-0.0750,0.0539,0.1924,0.0953,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0524,1.1568,-1000.0000,1.1470,0.2575,-0.1085,0.0564,0.1827,0.1041,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0499,1.1648,-1000.0000,1.1470,0.2672,-0.2394,0.0731,0.1812,0.1004,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0475,1.1732,-1000.0000,1.1470,0.2776,-0.2445,0.0629,0.5739,0.1630,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0453,1.1813,-1000.0000,1.1470,0.2875,-0.3136,0.0660,0.3489,0.1745,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0433,1.1893,-1000.0000,1.1470,0.2975,-0.4084,0.0694,0.5170,0.1877,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0414,1.1973,-1000.0000,1.1470,0.3075,-0.4217,0.0718,-0.0957,0.1997,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0396,1.2052,-1000.0000,1.1470,0.3175,-0.4131,0.0727,-0.1786,0.2124,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0379,1.2132,-1000.0000,1.1470,0.3276,-0.4153,0.0741,0.3252,0.2245,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0363,1.2210,-1000.0000,1.1470,0.3376,-0.4727,0.0918,0.4046,0.2691,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0349,1.2288,-1000.0000,1.1470,0.3476,-0.3810,0.0933,0.4509,0.2822,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0335,1.2365,-1000.0000,1.1470,0.3576,-0.2944,0.0908,0.5886,0.2941,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0322,1.2441,-1000.0000,1.1470,0.3675,-0.3407,0.0908,0.3957,0.3035,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0309,1.2518,-1000.0000,1.1470,0.3776,-0.3411,0.0926,0.5042,0.3194,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0297,1.2593,-1000.0000,1.1470,0.3874,-0.3901,0.1014,0.6522,0.3723,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0286,1.2669,-1000.0000,1.1470,0.3976,-0.2195,0.0928,1.0034,0.3616,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0275,1.2744,-1000.0000,1.1470,0.4075,-0.3569,0.0931,-0.3300,0.3676,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0265,1.2819,-1000.0000,1.1470,0.4176,-0.1493,0.0991,0.3256,0.3818,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
-1000.0000,0.0255,1.2892,-1000.0000,1.1470,0.4275,-0.0251,0.0925,0.7234,0.3997,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,-1000.0000,7
