Q2,x,W,theta,Eb,nu,g1,dg1(stat),dg1(sys),dg1(model),dg1(tot),g2,dg2(stat),dg2(sys),dg2(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot),g2/F1,dg2/F1(stat),dg2/F1(sys),dg2/F1(tot),sigma_LT,dsigma_LT(stat),dsigma_LT(sys),dsigma_LT(tot),sigma_TT,dsigma_TT(stat),dsigma_TT(sys),dsigma_TT(tot),Experiment
3.77,0.281,,,,,-0.0526,0.0487,0.0086,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
6.94,0.2824,,,,,-0.0311,0.0288,0.0048,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.46,0.355,,,,,-0.0528,0.1771,0.0146,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
4.62,0.3585,,,,,-0.007,0.0394,0.0064,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
8.25,0.3603,,,,,0.0228,0.0245,0.0017,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
3.08,0.452,,,,,0.0783,0.1331,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
5.61,0.4567,,,,,0.0051,0.0305,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
9.72,0.4589,,,,,-0.0037,0.0197,0.0016,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
3.9,0.5629,,,,,-0.0722,0.091,0.0092,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
6.77,0.5798,,,,,-0.0011,0.0244,0.0015,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
11.36,0.5823,,,,,0.0015,0.0146,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
6.32,0.6921,,,,,0.0246,0.0448,0.003,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
9.56,0.7173,,,,,-0.0057,0.0112,0.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
14.29,0.7311,,,,,0.0079,0.0095,0.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
0.91,0.0253,,,,,-0.2172,0.1042,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.15,0.0328,,,,,-0.4158,0.1159,0.0258,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.33,0.0403,,,,,-0.2492,0.097,0.0179,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
1.51,0.0506,,,,,-0.1581,0.0711,0.0149,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.01,0.0648,,,,,-0.1098,0.0584,0.0109,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
2.45,0.0829,,,,,-0.1078,0.0491,0.0113,,,,,,,,,,,,,,,,,,,,,,,,,,,HERMES
