Q2,x,Eb,g1,dg1(stat),dg1(sys),dg1(tot),g1/F1,dg1/F1(stat),dg1/F1(sys),dg1/F1(tot),A1,dA1(stat),dA1(sys),dA1(tot)
2.55,0.09,,0.26,0.024,0.012,0.0268,,,,,,,,
2.85,0.101,,0.299,0.022,0.012,0.0251,,,,,,,,
3.13,0.113,,0.272,0.021,0.011,0.0237,,,,,,,,
3.41,0.128,,0.262,0.019,0.01,0.0215,,,,,,,,
3.71,0.144,,0.239,0.018,0.01,0.0206,,,,,,,,
4.03,0.162,,0.253,0.017,0.01,0.0197,,,,,,,,
4.34,0.182,,0.243,0.016,0.009,0.0184,,,,,,,,
4.15,0.205,,0.231,0.014,0.009,0.0166,,,,,,,,
4.37,0.23,,0.206,0.014,0.008,0.0161,,,,,,,,
5.26,0.259,,0.242,0.014,0.008,0.0161,,,,,,,,
5.53,0.292,,0.192,0.014,0.007,0.0157,,,,,,,,
6.01,0.329,,0.168,0.014,0.006,0.0152,,,,,,,,
6.29,0.37,,0.144,0.013,0.005,0.0139,,,,,,,,
6.56,0.416,,0.148,0.012,0.005,0.013,,,,,,,,
6.79,0.468,,0.114,0.011,0.004,0.0117,,,,,,,,
7.72,0.526,,0.084,0.01,0.003,0.0104,,,,,,,,
7.97,0.592,,0.048,0.009,0.002,0.0092,,,,,,,,
9.26,0.666,,0.021,0.007,0.001,0.0071,,,,,,,,
9.52,0.749,,0.015,0.005,0.001,0.0051,,,,,,,,
2.0,0.031,,0.272,0.145,0.037,0.1496,,,,,,,,
2.0,0.035,,0.468,0.096,0.032,0.1012,,,,,,,,
2.0,0.039,,0.283,0.077,0.026,0.0813,,,,,,,,
2.0,0.044,,0.334,0.065,0.022,0.0686,,,,,,,,
2.0,0.049,,0.334,0.054,0.019,0.0572,,,,,,,,
2.0,0.056,,0.312,0.046,0.017,0.049,,,,,,,,
2.0,0.063,,0.267,0.039,0.014,0.0414,,,,,,,,
2.0,0.071,,0.292,0.034,0.013,0.0364,,,,,,,,
2.0,0.079,,0.305,0.03,0.013,0.0327,,,,,,,,
2.0,0.09,,0.257,0.024,0.011,0.0264,,,,,,,,
2.0,0.101,,0.292,0.022,0.011,0.0246,,,,,,,,
2.0,0.113,,0.264,0.02,0.01,0.0224,,,,,,,,
2.0,0.128,,0.253,0.019,0.01,0.0215,,,,,,,,
2.0,0.144,,0.229,0.017,0.009,0.0192,,,,,,,,
2.0,0.162,,0.242,0.016,0.009,0.0184,,,,,,,,
2.0,0.182,,0.232,0.016,0.008,0.0179,,,,,,,,
2.0,0.205,,0.225,0.014,0.008,0.0161,,,,,,,,
2.0,0.23,,0.202,0.013,0.008,0.0153,,,,,,,,
2.0,0.259,,0.241,0.014,0.008,0.0161,,,,,,,,
2.0,0.292,,0.197,0.014,0.007,0.0157,,,,,,,,
2.0,0.329,,0.179,0.015,0.006,0.0162,,,,,,,,
2.0,0.37,,0.161,0.014,0.005,0.0149,,,,,,,,
2.0,0.416,,0.177,0.014,0.005,0.0149,,,,,,,,
2.0,0.468,,0.151,0.014,0.005,0.0149,,,,,,,,
2.0,0.526,,0.139,0.017,0.004,0.0175,,,,,,,,
2.0,0.592,,0.105,0.019,0.003,0.0192,,,,,,,,
2.0,0.666,,0.07,0.024,0.002,0.0241,,,,,,,,
